Step,Exact,Mean_Estimate,Std_Dev,Upper_Bound,Lower_Bound
5%,4897,4872.53,128.95,5001.47,4743.58
10%,9732,9532.53,263.44,9795.97,9269.09
15%,14532,14219.05,426.41,14645.45,13792.64
20%,19332,18895.49,588.99,19484.47,18306.50
25%,24130,23631.13,680.79,24311.91,22950.34
30%,28930,28212.07,774.71,28986.77,27437.36
35%,33744,32994.94,988.30,33983.24,32006.63
40%,38549,37720.73,1288.33,39009.06,36432.40
45%,43334,42504.96,1549.77,44054.73,40955.20
50%,48088,47061.26,1583.14,48644.39,45478.12
55%,52847,51766.62,1771.31,53537.93,49995.31
60%,57610,56541.19,1901.23,58442.41,54639.96
65%,62377,61132.05,1872.34,63004.38,59259.71
70%,67135,65911.73,2024.13,67935.86,63887.60
75%,71855,70592.18,2295.56,72887.74,68296.62
80%,76611,75277.55,2576.38,77853.93,72701.17
85%,81366,79998.74,2780.72,82779.46,77218.02
90%,86099,84832.86,2883.52,87716.38,81949.34
95%,90808,89452.03,2844.98,92297.01,86607.05
100%,93193,91790.43,2994.67,94785.09,88795.76
