n,time_ms
500,0.126
1000,0.278
1500,0.416
2000,0.561
2500,0.778
3000,0.958
3500,1.076
4000,1.287
4500,1.492
5000,1.726
5500,1.903
6000,1.941
6500,2.193
7000,2.411
7500,2.513
8000,2.621
8500,2.914
9000,3.159
9500,3.301
10000,3.659
10500,3.686
11000,3.928
11500,3.796
12000,4.043
12500,4.404
13000,4.679
13500,4.602
14000,4.462
14500,4.965
15000,5.17
15500,5.168
16000,5.45
16500,5.765
17000,6.025
17500,6.391
18000,6.193
18500,6.852
19000,7.031
19500,7.113
20000,7.578
20500,7.104
21000,7.56
21500,7.72
22000,8.207
22500,8.185
23000,8.408
23500,8.731
24000,8.254
24500,9.318
25000,9.284
25500,9.242
26000,9.413
26500,9.499
27000,9.687
27500,9.908
28000,10.283
28500,10.202
29000,10.025
29500,10.592
30000,11.189
30500,11.257
31000,11.039
31500,11.771
32000,12.067
32500,11.815
33000,11.584
33500,12.496
34000,13.002
34500,12.801
35000,13.182
35500,13.491
36000,13.428
36500,13.672
37000,14.174
37500,14.333
38000,14.694
38500,14.213
39000,14.371
39500,15.29
40000,15.013
40500,14.912
41000,15.273
41500,15.685
42000,15.767
42500,16.256
43000,16.013
43500,16.802
44000,19.167
44500,18.031
45000,19.22
45500,17.709
46000,17.428
46500,17.417
47000,17.859
47500,18.249
48000,18.212
48500,18.079
49000,18.94
49500,18.698
50000,19.822
50500,20.386
51000,20.789
51500,19.503
52000,19.796
52500,20.42
53000,19.966
53500,19.684
54000,20.673
54500,20.9
55000,20.306
55500,20.747
56000,21.269
56500,20.843
57000,21.481
57500,21.501
58000,21.117
58500,22.291
59000,22.104
59500,23.152
60000,23.776
60500,23.919
61000,23.7
61500,22.341
62000,23.597
62500,23.592
63000,23.615
63500,23.448
64000,25.173
64500,24.868
65000,23.516
65500,24.966
66000,26.365
66500,25.143
67000,25.845
67500,27.104
68000,28.037
68500,26.64
69000,28.909
69500,28.747
70000,29.899
70500,27.581
71000,27.222
71500,28.692
72000,29.921
72500,29.049
73000,29.459
73500,29.464
74000,30.407
74500,29.23
75000,29.504
75500,30.676
76000,29.949
76500,29.98
77000,31.337
77500,30.815
78000,31.016
78500,30.599
79000,33.832
79500,31.899
80000,31.669
80500,32.384
81000,32.555
81500,32.027
82000,32.926
82500,32.884
83000,33.738
83500,33.396
84000,33.881
84500,33.683
85000,35.805
85500,34.598
86000,34.739
86500,35.874
87000,35.252
87500,34.71
88000,36.123
88500,35.579
89000,35.642
89500,36.641
90000,36.859
90500,35.868
91000,36.887
91500,36.174
92000,36.48
92500,37.359
93000,37.37
93500,37.607
94000,37.484
94500,38.24
95000,38.841
95500,38.775
96000,38.868
96500,40.539
97000,40.57
97500,39.303
98000,40.024
98500,40.786
99000,40.688
99500,40.158
100000,40.823
