n,time_ms
500,0.125
1000,0.273
1500,0.433
2000,0.595
2500,0.764
3000,0.938
3500,1.112
4000,1.297
4500,1.448
5000,1.692
5500,1.863
6000,1.998
6500,2.203
7000,2.375
7500,2.38
8000,2.621
8500,2.999
9000,3.073
9500,3.314
10000,3.522
10500,3.611
11000,3.863
11500,3.983
12000,4.149
12500,4.479
13000,4.577
13500,4.576
14000,4.839
14500,4.851
15000,5.146
15500,5.526
16000,5.456
16500,5.425
17000,6.104
17500,6.448
18000,6.512
18500,6.743
19000,6.897
19500,6.847
20000,6.995
20500,7.474
21000,7.634
21500,7.858
22000,8.109
22500,8.237
23000,8.175
23500,8.018
24000,8.73
24500,9.064
25000,9.179
25500,9.435
26000,9.475
26500,9.623
27000,10.164
27500,10.138
28000,10.36
28500,10.394
29000,10.226
29500,9.861
30000,10.87
30500,11.345
31000,11.325
31500,11.886
32000,11.862
32500,11.944
33000,11.912
33500,12.797
34000,12.947
34500,12.948
35000,13.317
35500,13.503
36000,13.782
36500,13.733
37000,14.392
37500,13.968
38000,14.251
38500,14.16
39000,14.77
39500,15.376
40000,15.439
40500,15.535
41000,15.495
41500,16.217
42000,16.406
42500,16.738
43000,16.139
43500,17.51
44000,18.521
44500,18.363
45000,18.791
45500,18.876
46000,17.689
46500,17.434
47000,18.122
47500,18.224
48000,18.272
48500,19.049
49000,19.49
49500,18.534
50000,19.309
50500,20.641
51000,20.545
51500,20.181
52000,19.163
52500,20.001
53000,20.242
53500,19.86
54000,21.507
54500,20.787
55000,21.552
55500,21.036
56000,21.781
56500,20.851
57000,21.49
57500,21.561
58000,22.152
58500,22.481
59000,22.678
59500,23.352
60000,24.061
60500,23.794
61000,23.479
61500,22.463
62000,23.965
62500,24.593
63000,24.219
63500,24.837
64000,24.69
64500,23.983
65000,24.206
65500,24.864
66000,26.519
66500,25.814
67000,26.638
67500,27.302
68000,27.841
68500,26.769
69000,29.353
69500,28.278
70000,29.856
70500,28.262
71000,28.234
71500,28.521
72000,29.074
72500,29.298
73000,30.172
73500,30.235
74000,30.84
74500,30.535
75000,30.547
75500,31.413
76000,31.053
76500,31.006
77000,30.915
77500,31.962
78000,31.829
78500,31.743
79000,32.993
79500,31.674
80000,31.467
80500,32.581
81000,32.969
81500,33.592
82000,33.603
82500,34.53
83000,34.089
83500,34.187
84000,33.64
84500,33.873
85000,35.103
85500,35.259
86000,35.205
86500,36.757
87000,36.695
87500,35.827
88000,36.381
88500,36.121
89000,36.146
89500,37.075
90000,37.049
90500,37.137
91000,37.871
91500,36.297
92000,36.055
92500,37.494
93000,37.478
93500,37.382
94000,37.347
94500,37.963
95000,39.328
95500,39.576
96000,39.35
96500,40.619
97000,41.127
97500,39.775
98000,40.426
98500,40.622
99000,41.244
99500,41.411
100000,41.152
