n,time_ms
500,0.145
1000,0.314
1500,0.498
2000,0.728
2500,0.899
3000,1.123
3500,1.311
4000,1.469
4500,1.689
5000,1.908
5500,2.123
6000,2.351
6500,2.569
7000,2.797
7500,3.005
8000,3.208
8500,3.422
9000,3.696
9500,3.936
10000,4.139
10500,4.349
11000,4.588
11500,4.827
12000,5.091
12500,5.256
13000,5.49
13500,5.728
14000,5.989
14500,6.229
15000,6.458
15500,6.664
16000,7.226
16500,7.267
17000,7.475
17500,7.914
18000,8.445
18500,8.548
19000,8.531
19500,8.756
20000,9.002
20500,9.358
21000,9.566
21500,9.778
22000,10.041
22500,10.102
23000,10.291
23500,10.483
24000,10.732
24500,10.984
25000,11.279
25500,11.552
26000,11.775
26500,11.98
27000,12.254
27500,12.55
28000,12.704
28500,13.046
29000,13.495
29500,13.624
30000,13.993
30500,14.112
31000,14.355
31500,14.573
32000,14.705
32500,14.963
33000,15.13
33500,15.428
34000,15.697
34500,15.99
35000,16.255
35500,16.532
36000,16.802
36500,17.016
37000,17.189
37500,17.565
38000,18.201
38500,18.201
39000,18.419
39500,18.686
40000,19.155
40500,19.147
41000,19.344
41500,19.837
42000,19.799
42500,20.059
43000,20.561
43500,20.776
44000,21.025
44500,21.295
45000,21.497
45500,21.942
46000,22.292
46500,22.176
47000,22.48
47500,22.79
48000,23.103
48500,23.245
49000,23.446
49500,23.881
50000,23.971
50500,24.22
51000,24.575
51500,24.991
52000,24.91
52500,25.251
53000,26.184
53500,26.223
54000,26.131
54500,26.513
55000,26.979
55500,26.849
56000,27.334
56500,27.443
57000,27.817
57500,28.064
58000,28.491
58500,28.19
59000,28.71
59500,28.714
60000,29.777
60500,29.917
61000,29.763
61500,30.811
62000,30.608
62500,30.98
63000,30.818
63500,30.816
64000,31.976
64500,32.258
65000,32.46
65500,31.941
66000,32.718
66500,32.931
67000,33.789
67500,33.378
68000,34.216
68500,36.499
69000,34.962
69500,34.157
70000,35.374
70500,34.936
71000,35.618
71500,35.862
72000,36.44
72500,36.293
73000,36.535
73500,36.359
74000,37.106
74500,37.71
75000,37.897
75500,37.607
76000,38.014
76500,38.829
77000,38.46
77500,39.549
78000,38.845
78500,39.089
79000,39.44
79500,39.814
80000,40.142
80500,41.395
81000,41.782
81500,41.779
82000,42.161
82500,41.267
83000,41.367
83500,41.98
84000,43.307
84500,43.782
85000,43.196
85500,43.205
86000,43.785
86500,44.913
87000,44.694
87500,44.827
88000,45.495
88500,45.495
89000,47.818
89500,45.704
90000,45.504
90500,46.683
91000,46.475
91500,46.225
92000,46.499
92500,47.308
93000,46.594
93500,47.39
94000,48.078
94500,48.079
95000,48.992
95500,48.738
96000,50.604
96500,50.284
97000,49.736
97500,49.153
98000,49.452
98500,51.513
99000,51.986
99500,51.869
100000,51.515
