n,time_ms
500,0.137
1000,0.286
1500,0.46
2000,0.603
2500,0.743
3000,0.935
3500,1.11
4000,1.288
4500,1.473
5000,1.625
5500,1.78
6000,2.029
6500,2.135
7000,2.318
7500,2.562
8000,2.685
8500,3.147
9000,3.13
9500,3.314
10000,3.467
10500,3.648
11000,3.946
11500,3.845
12000,4.127
12500,4.449
13000,4.665
13500,5.038
14000,5.029
14500,5.111
15000,5.38
15500,5.425
16000,5.649
16500,5.825
17000,5.981
17500,6.269
18000,6.455
18500,6.897
19000,6.922
19500,7.141
20000,7.114
20500,7.23
21000,7.577
21500,7.695
22000,9.824
22500,8.219
23000,8.521
23500,9.21
24000,9.861
24500,8.859
25000,9.191
25500,9.456
26000,9.619
26500,9.527
27000,10.295
27500,10.283
28000,10.401
28500,10.563
29000,10.469
29500,10.673
30000,11.085
30500,11.058
31000,11.17
31500,12.038
32000,11.813
32500,11.935
33000,12.183
33500,12.77
34000,13.425
34500,13.351
35000,15.544
35500,14.244
36000,14.099
36500,15.027
37000,14.544
37500,14.68
38000,14.827
38500,15.337
39000,15.949
39500,16.006
40000,16.002
40500,15.834
41000,15.404
41500,16.044
42000,15.853
42500,16.535
43000,16.31
43500,17.179
44000,16.505
44500,17.177
45000,17.162
45500,18.472
46000,17.868
46500,17.9
47000,18.339
47500,18.646
48000,18.317
48500,18.604
49000,18.676
49500,19.188
50000,21.932
50500,19.626
51000,19.655
51500,20.526
52000,21.216
52500,22.359
53000,20.757
53500,20.63
54000,21.061
54500,22.233
55000,21.959
55500,21.616
56000,21.858
56500,22.053
57000,22.543
57500,22.142
58000,22.265
58500,22.712
59000,23.416
59500,23.598
60000,23.675
60500,24.021
61000,23.637
61500,23.638
62000,24.251
62500,24.661
63000,24.311
63500,24.291
64000,24.948
64500,25.706
65000,25.807
65500,25.948
66000,26.061
66500,26.699
67000,26.017
67500,26.829
68000,27.055
68500,27.106
69000,27.291
69500,27.322
70000,27.108
70500,29.031
71000,28.156
71500,28.995
72000,28.559
72500,29.172
73000,29.467
73500,28.471
74000,29.727
74500,29.722
75000,30.319
75500,31.12
76000,29.659
76500,30.904
77000,31.028
77500,32.046
78000,31.952
78500,32.682
79000,32.467
79500,32.207
80000,31.904
80500,32.593
81000,32.263
81500,32.489
82000,33.248
82500,32.972
83000,33.805
83500,34.292
84000,33.476
84500,34.822
85000,34.937
85500,34.923
86000,34.694
86500,35.54
87000,34.703
87500,34.734
88000,36.048
88500,35.933
89000,35.312
89500,36.26
90000,35.354
90500,36.623
91000,36.453
91500,36.701
92000,37.307
92500,37.715
93000,37.761
93500,38.139
94000,39.028
94500,38.545
95000,39.807
95500,38.97
96000,39.751
96500,39.517
97000,39.711
97500,39.713
98000,39.898
98500,39.842
99000,40.115
99500,40.188
100000,40.902
