n,time_ms
500,0.135
600,0.168
700,0.202
800,0.225
900,0.248
1000,0.262
1100,0.268
1200,0.324
1300,0.352
1400,0.398
1500,0.389
1600,0.45
1700,0.463
1800,0.493
1900,0.533
2000,0.55
2100,0.532
2200,0.596
2300,0.652
2400,0.652
2500,0.703
2600,0.691
2700,0.72
2800,0.815
2900,0.784
3000,0.871
3100,0.861
3200,0.965
3300,0.949
3400,0.935
3500,0.985
3600,1.051
3700,1.085
3800,1.065
3900,1.093
4000,1.112
4100,1.133
4200,1.136
4300,1.176
4400,1.248
4500,1.393
4600,1.348
4700,1.284
4800,1.39
4900,1.347
5000,1.492
5100,1.502
5200,1.395
5300,1.469
5400,1.474
5500,1.66
5600,1.636
5700,1.54
5800,1.541
5900,1.586
6000,1.642
6100,1.663
6200,1.7
6300,1.84
6400,1.735
6500,1.886
6600,1.818
6700,1.848
6800,1.86
6900,1.987
7000,2.047
7100,2.12
7200,2.009
7300,2.068
7400,2.079
7500,2.168
7600,2.127
7700,2.118
7800,2.22
7900,2.192
8000,2.129
8100,2.243
8200,2.29
8300,2.286
8400,2.302
8500,2.391
8600,2.414
8700,2.463
8800,2.467
8900,2.444
9000,2.48
9100,2.561
9200,2.572
9300,2.533
9400,2.597
9500,2.859
9600,2.642
9700,2.659
9800,2.706
9900,2.85
10000,2.778
10100,2.758
10200,3.1
10300,3.01
10400,2.872
10500,2.876
10600,2.947
10700,2.93
10800,3.009
10900,3.05
11000,3.134
11100,3.13
11200,3.221
11300,3.17
11400,3.213
11500,3.186
11600,3.264
11700,3.301
11800,3.283
11900,3.501
12000,3.36
12100,3.673
12200,3.711
12300,3.522
12400,3.868
12500,3.628
12600,3.532
12700,3.664
12800,4.231
12900,4.112
13000,3.706
13100,3.746
13200,3.771
13300,3.727
13400,3.734
13500,3.749
13600,3.81
13700,3.806
13800,4.043
13900,3.894
14000,4.224
14100,4.157
14200,4.168
14300,4.204
14400,4.037
14500,4.14
14600,4.162
14700,4.324
14800,4.32
14900,4.419
15000,4.384
15100,4.836
15200,4.352
15300,4.529
15400,4.344
15500,4.553
15600,4.341
15700,4.883
15800,4.4
15900,4.75
16000,4.545
16100,4.698
16200,4.664
16300,5.398
16400,5.211
16500,5.411
16600,4.795
16700,4.732
16800,4.743
16900,4.893
17000,4.788
17100,5.058
17200,5.138
17300,5.182
17400,4.864
17500,5.05
17600,5.824
17700,5.082
17800,5.246
17900,5.122
18000,5.158
18100,5.285
18200,5.221
18300,5.248
18400,5.402
18500,5.291
18600,5.302
