n,time_ms
500,0.159
600,0.191
700,0.222
800,0.254
900,0.292
1000,0.326
1100,0.359
1200,0.401
1300,0.434
1400,0.467
1500,0.508
1600,0.542
1700,0.588
1800,0.626
1900,0.668
2000,0.728
2100,0.733
2200,0.778
2300,0.812
2400,0.86
2500,0.898
2600,0.912
2700,0.976
2800,1.025
2900,1.077
3000,1.127
3100,1.18
3200,1.168
3300,1.237
3400,1.268
3500,1.307
3600,1.345
3700,1.388
3800,1.433
3900,1.472
4000,1.524
4100,1.575
4200,1.595
4300,1.638
4400,1.68
4500,1.753
4600,1.838
4700,1.824
4800,1.881
4900,1.885
5000,1.965
5100,2.002
5200,2.026
5300,2.056
5400,2.113
5500,2.197
5600,2.298
5700,2.272
5800,2.298
5900,2.373
6000,2.368
6100,2.478
6200,2.462
6300,2.498
6400,2.547
6500,2.633
6600,2.66
6700,2.693
6800,2.664
6900,2.791
7000,2.86
7100,2.968
7200,2.871
7300,3.013
7400,3.001
7500,3.035
7600,3.074
7700,3.111
7800,3.16
7900,3.207
8000,3.233
8100,3.281
8200,3.324
8300,3.402
8400,3.438
8500,3.482
8600,3.548
8700,3.572
8800,3.623
8900,3.677
9000,3.717
9100,3.8
9200,3.838
9300,3.866
9400,3.866
9500,4.215
9600,4.027
9700,4.047
9800,4.108
9900,4.179
10000,4.201
10100,4.229
10200,4.26
10300,4.353
10400,4.367
10500,4.302
10600,4.358
10700,4.402
10800,4.548
10900,4.62
11000,4.838
11100,4.701
11200,4.804
11300,4.837
11400,4.977
11500,4.809
11600,4.983
11700,5.045
11800,5.04
11900,5.227
12000,5.16
12100,5.201
12200,5.274
12300,5.279
12400,5.331
12500,5.488
12600,5.458
12700,5.565
12800,5.696
12900,5.553
13000,5.667
13100,5.637
13200,5.736
13300,5.741
13400,5.785
13500,5.831
13600,5.864
13700,5.924
13800,5.96
13900,6.007
14000,5.928
14100,6.137
14200,6.144
14300,6.338
14400,6.185
14500,6.299
14600,6.334
14700,6.456
14800,6.487
14900,6.468
15000,6.491
15100,6.638
15200,6.687
15300,6.685
15400,6.713
15500,6.794
15600,6.853
15700,7.031
15800,6.937
15900,7.075
16000,7.037
16100,7.224
16200,7.093
16300,7.22
16400,7.213
16500,7.253
16600,7.318
16700,7.322
16800,7.383
16900,7.449
17000,7.495
17100,7.558
17200,7.576
17300,7.913
17400,7.724
17500,7.686
17600,7.822
17700,7.9
17800,7.964
17900,7.956
18000,7.805
18100,8.051
18200,8.114
18300,8.127
18400,8.321
18500,8.305
18600,8.341
18700,8.356
18800,8.397
18900,8.431
19000,8.522
19100,8.56
19200,8.603
19300,8.636
19400,8.727
19500,8.952
19600,8.769
19700,8.934
19800,8.909
19900,9.102
20000,9.067
20100,9.027
20200,9.209
20300,9.398
20400,9.19
20500,9.221
20600,9.473
20700,9.307
20800,9.379
20900,9.507
21000,9.478
21100,9.85
21200,9.367
21300,9.67
21400,9.714
21500,9.737
21600,9.766
21700,9.991
21800,10.032
21900,9.97
22000,10.073
22100,10.255
22200,10.306
22300,10.271
22400,10.335
22500,10.367
22600,10.351
22700,10.39
22800,10.527
22900,10.568
23000,10.558
23100,10.614
23200,10.801
23300,10.857
23400,10.735
23500,10.932
23600,11.177
23700,10.954
23800,10.921
23900,11.019
24000,11.267
24100,11.073
24200,11.285
24300,11.257
24400,11.389
24500,11.396
24600,11.57
24700,11.529
24800,11.624
24900,11.338
25000,11.557
25100,11.696
25200,11.678
25300,11.374
25400,11.531
25500,11.822
25600,11.806
25700,11.924
25800,11.972
25900,12.035
26000,12.117
26100,12.144
26200,12.238
26300,12.238
26400,12.652
26500,12.369
26600,12.463
26700,12.487
26800,12.803
26900,12.863
27000,13.336
27100,13.078
27200,13.179
27300,13.95
27400,13.22
27500,13.159
27600,12.936
27700,13.052
27800,13.302
27900,13.206
28000,13.567
28100,14.091
28200,13.955
28300,13.507
28400,13.44
28500,13.519
28600,13.368
28700,13.474
28800,13.521
28900,13.223
29000,13.896
29100,14.994
29200,15.128
29300,14.821
29400,14.267
29500,14.3
29600,13.955
29700,14.108
29800,14.236
29900,14.311
30000,14.761
30100,14.786
30200,14.395
30300,14.307
30400,14.615
30500,14.41
30600,14.495
30700,14.654
30800,14.513
30900,14.421
31000,14.637
31100,14.524
31200,14.798
31300,14.967
31400,15.169
31500,14.971
31600,14.934
31700,14.847
31800,15.049
31900,15.07
32000,15.132
32100,15.163
32200,15.08
32300,15.531
32400,15.426
32500,15.317
32600,15.229
32700,15.5
32800,15.896
32900,15.57
33000,15.791
33100,15.803
33200,15.889
33300,16.018
33400,15.97
33500,15.948
33600,16.075
33700,16.151
33800,16.097
33900,16.172
34000,16.349
34100,16.378
34200,16.334
34300,16.477
34400,16.427
34500,16.461
34600,16.601
34700,16.595
34800,16.868
34900,16.582
35000,17.113
35100,16.816
35200,16.923
35300,16.883
35400,17.354
35500,16.937
35600,16.825
35700,17.265
35800,17.173
35900,17.214
36000,17.442
36100,17.436
36200,17.49
36300,17.819
36400,17.585
36500,17.465
36600,17.833
36700,17.599
36800,17.676
36900,17.665
37000,17.892
37100,17.91
37200,17.892
37300,18.194
37400,18.128
37500,18.274
37600,18.16
37700,18.199
37800,18.29
37900,18.746
38000,18.865
38100,18.439
38200,18.384
38300,18.499
38400,18.764
38500,18.993
38600,18.62
38700,18.73
38800,18.815
38900,18.835
39000,18.883
39100,19.147
39200,19.048
39300,18.895
39400,19.274
39500,19.185
39600,19.191
39700,19.101
39800,18.85
39900,19.533
40000,19.581
40100,19.475
40200,18.928
40300,19.034
40400,19.709
40500,19.698
40600,19.62
40700,19.521
40800,19.841
40900,19.909
41000,20.097
41100,19.99
41200,20.143
41300,20.134
41400,20.377
41500,20.143
41600,20.2
41700,20.103
41800,20.153
41900,20.383
42000,20.45
42100,20.512
42200,20.662
42300,20.489
42400,20.64
42500,21.286
42600,21.833
42700,21.268
42800,22.384
42900,21.86
43000,21.361
43100,21.213
43200,21.219
43300,21.215
43400,21.222
43500,21.219
43600,21.396
43700,21.531
43800,20.885
43900,21.558
44000,21.932
44100,21.765
44200,21.901
44300,21.258
44400,22.136
44500,22.128
44600,21.869
44700,21.701
44800,22.125
44900,22.368
45000,22.461
45100,22.534
45200,22.89
45300,22.338
45400,22.359
45500,22.424
45600,22.786
45700,22.286
45800,22.409
45900,22.875
46000,22.79
46100,23.139
46200,23.258
46300,22.978
46400,22.981
46500,22.857
46600,23.311
46700,23.19
46800,23.06
46900,22.943
47000,23.594
47100,23.2
47200,23.263
47300,22.683
47400,23.393
47500,23.304
47600,23.457
47700,23.853
47800,23.917
47900,24.13
48000,22.953
48100,23.644
48200,23.778
48300,23.742
48400,24.07
48500,23.924
48600,23.965
48700,23.962
48800,23.829
48900,23.77
49000,24.444
49100,24.159
49200,24.191
49300,24.42
49400,24.452
49500,24.418
49600,24.213
49700,24.608
49800,24.577
49900,24.952
50000,24.945
50100,24.939
50200,24.931
50300,25.18
50400,25.081
50500,25.037
50600,25.036
50700,25.224
50800,25.352
50900,25.146
51000,25.231
51100,25.44
51200,25.447
51300,25.44
51400,25.778
51500,26.053
51600,25.807
51700,25.878
51800,25.811
51900,25.984
52000,25.501
52100,26.157
52200,25.844
52300,26.052
52400,26.004
52500,26.277
52600,25.993
52700,26.292
52800,26.179
52900,26.062
53000,26.376
53100,26.523
53200,26.481
53300,26.523
53400,26.477
53500,26.377
53600,26.807
53700,26.785
53800,26.77
53900,26.861
54000,26.803
54100,26.309
54200,27.245
54300,27.386
54400,27.447
54500,28.282
54600,28.034
54700,27.381
54800,27.325
54900,27.734
55000,27.701
55100,28.099
55200,27.847
55300,28.03
55400,27.854
55500,27.933
55600,28.575
55700,27.586
55800,27.658
55900,28.125
56000,27.979
56100,28.006
56200,28.546
56300,27.683
56400,28.256
56500,28.313
56600,28.823
56700,28.377
56800,28.394
56900,28.408
57000,28.295
57100,28.524
57200,28.564
57300,29.329
57400,28.772
57500,29.03
57600,29.58
57700,28.797
57800,28.782
57900,29.049
58000,29.218
58100,29.409
58200,29.322
58300,29.225
58400,29.38
58500,29.554
58600,29.371
58700,29.59
58800,29.64
58900,30.005
59000,29.664
59100,29.61
59200,29.488
59300,30.002
59400,29.985
59500,29.834
59600,29.857
59700,30.136
59800,30.075
59900,30.173
60000,30.759
60100,30.033
60200,30.294
60300,30.035
60400,30.229
60500,30.205
60600,30.354
60700,30.412
60800,31.177
60900,30.59
61000,30.754
61100,30.573
61200,30.614
61300,30.614
61400,30.727
61500,30.765
61600,31.779
