n,time_ms
500,0.036
600,0.048
700,0.047
800,0.055
900,0.066
1000,0.076
1100,0.089
1200,0.095
1300,0.107
1400,0.115
1500,0.123
1600,0.133
1700,0.142
1800,0.155
1900,0.158
2000,0.162
2100,0.181
2200,0.183
2300,0.2
2400,0.203
2500,0.215
2600,0.229
2700,0.232
2800,0.241
2900,0.256
3000,0.264
3100,0.281
3200,0.276
3300,0.288
3400,0.301
3500,0.307
3600,0.332
3700,0.342
3800,0.333
3900,0.346
4000,0.365
4100,0.363
4200,0.387
4300,0.393
4400,0.405
4500,0.406
4600,0.42
4700,0.452
4800,0.45
4900,0.5
5000,0.48
5100,0.489
5200,0.476
5300,0.502
5400,0.529
5500,0.539
5600,0.56
5700,0.546
5800,0.564
5900,0.585
6000,0.596
6100,0.598
6200,0.616
6300,0.622
6400,0.634
6500,0.637
6600,0.644
6700,0.66
6800,0.69
6900,0.695
7000,0.701
7100,0.713
7200,0.708
7300,0.727
7400,0.741
7500,0.754
7600,0.769
7700,0.746
7800,0.754
7900,0.795
8000,0.816
8100,0.837
8200,0.821
8300,0.832
8400,0.848
8500,0.887
8600,0.902
8700,0.878
8800,0.904
8900,0.923
9000,0.925
9100,0.917
9200,0.922
9300,0.989
9400,0.956
9500,0.969
9600,1.027
9700,1.01
9800,0.994
9900,1.019
10000,1.041
10100,1.047
10200,1.08
10300,1.052
10400,1.053
10500,1.108
10600,1.081
10700,1.131
10800,1.12
10900,1.177
11000,1.119
11100,1.119
11200,1.19
11300,1.176
11400,1.24
11500,1.219
11600,1.218
11700,1.27
11800,1.24
11900,1.256
12000,1.24
12100,1.3
12200,1.329
12300,1.315
12400,1.302
12500,1.313
12600,1.283
12700,1.338
12800,1.392
12900,1.374
13000,1.396
13100,1.38
13200,1.432
13300,1.439
13400,1.413
13500,1.448
13600,1.501
13700,1.422
13800,1.441
13900,1.537
14000,1.495
14100,1.47
14200,1.597
14300,1.548
14400,1.546
14500,1.576
14600,1.592
14700,1.621
14800,1.568
14900,1.623
15000,1.663
15100,1.585
15200,1.666
15300,1.653
15400,1.69
15500,1.692
15600,1.708
15700,1.723
15800,1.697
15900,1.734
16000,1.77
16100,1.773
16200,1.797
16300,1.859
16400,1.785
16500,1.837
16600,1.865
16700,1.829
16800,1.798
16900,1.847
17000,1.864
17100,1.779
17200,1.9
17300,1.914
17400,1.938
17500,1.932
17600,1.873
17700,2.013
17800,1.959
17900,1.913
18000,1.929
18100,1.973
18200,2.002
18300,2.084
18400,2.098
18500,2.024
18600,2.006
18700,2.017
18800,2.061
18900,2.067
19000,2.14
19100,2.193
19200,2.154
19300,2.152
19400,2.127
19500,2.147
19600,2.215
19700,2.278
19800,2.207
19900,2.2
20000,2.245
20100,2.243
20200,2.286
20300,2.365
20400,2.3
20500,2.196
20600,2.282
20700,2.277
20800,2.404
20900,2.414
21000,2.418
21100,2.355
21200,2.333
21300,2.363
21400,2.355
21500,2.305
21600,2.525
21700,2.45
21800,2.422
21900,2.523
22000,2.451
22100,2.472
22200,2.578
22300,2.412
22400,2.526
22500,2.587
22600,2.561
22700,2.588
22800,2.545
22900,2.685
23000,2.572
23100,2.619
23200,2.578
23300,2.71
23400,2.613
23500,2.643
23600,2.673
23700,2.845
23800,2.761
23900,2.657
24000,2.77
24100,2.843
24200,2.833
24300,2.897
24400,2.836
24500,2.723
24600,2.792
24700,2.896
24800,2.938
24900,2.808
25000,2.991
25100,2.786
25200,2.968
25300,2.913
25400,2.928
25500,2.974
25600,2.977
25700,3.048
25800,2.978
25900,2.942
26000,3.031
26100,2.953
26200,2.968
26300,2.879
26400,3.093
26500,3.046
26600,3.043
26700,3.035
26800,3.087
26900,3.08
27000,3.225
27100,3.085
27200,3.095
27300,3.217
