n,time_ms
500,0.03
600,0.04
700,0.046
800,0.052
900,0.057
1000,0.064
1100,0.076
1200,0.08
1300,0.089
1400,0.099
1500,0.106
1600,0.112
1700,0.123
1800,0.137
1900,0.134
2000,0.143
2100,0.148
2200,0.168
2300,0.175
2400,0.176
2500,0.191
2600,0.202
2700,0.209
2800,0.215
2900,0.227
3000,0.233
3100,0.237
3200,0.247
3300,0.25
3400,0.264
3500,0.278
3600,0.282
3700,0.303
3800,0.312
3900,0.304
4000,0.326
4100,0.327
4200,0.345
4300,0.343
4400,0.357
4500,0.362
4600,0.374
4700,0.382
4800,0.404
4900,0.424
5000,0.418
5100,0.412
5200,0.44
5300,0.446
5400,0.436
5500,0.456
5600,0.465
5700,0.477
5800,0.496
5900,0.48
6000,0.503
6100,0.51
6200,0.515
6300,0.529
6400,0.538
6500,0.565
6600,0.584
6700,0.579
6800,0.63
6900,0.575
7000,0.623
7100,0.608
7200,0.627
7300,0.616
7400,0.639
7500,0.649
7600,0.67
7700,0.685
7800,0.711
7900,0.7
8000,0.707
8100,0.683
8200,0.705
8300,0.704
8400,0.74
8500,0.769
8600,0.736
8700,0.766
8800,0.747
8900,0.789
9000,0.796
9100,0.801
9200,0.802
9300,0.859
9400,0.821
9500,0.841
9600,0.841
9700,0.858
9800,0.896
9900,0.851
10000,0.894
10100,0.895
10200,0.908
10300,0.952
10400,0.929
10500,0.935
10600,0.942
10700,0.945
10800,0.985
10900,0.957
11000,0.979
11100,0.979
11200,0.973
11300,1.027
11400,1.091
11500,1.041
11600,1.059
11700,1.064
11800,1.093
11900,1.042
12000,1.089
12100,1.089
12200,1.174
12300,1.117
12400,1.151
12500,1.156
12600,1.165
12700,1.175
12800,1.22
12900,1.219
13000,1.198
13100,1.184
13200,1.175
13300,1.226
13400,1.208
13500,1.245
13600,1.271
13700,1.261
13800,1.258
13900,1.314
14000,1.334
14100,1.39
14200,1.316
14300,1.337
14400,1.37
14500,1.356
14600,1.309
14700,1.345
14800,1.372
14900,1.423
15000,1.421
15100,1.395
15200,1.424
15300,1.436
15400,1.496
15500,1.471
15600,1.468
15700,1.461
15800,1.463
15900,1.483
16000,1.508
16100,1.564
16200,1.514
16300,1.522
16400,1.529
16500,1.584
16600,1.594
16700,1.568
16800,1.58
16900,1.594
17000,1.636
17100,1.587
17200,1.603
17300,1.645
17400,1.628
17500,1.628
17600,1.657
17700,1.692
17800,1.649
17900,1.701
18000,1.735
18100,1.707
18200,1.67
18300,1.725
18400,1.747
18500,1.828
18600,1.842
18700,1.849
18800,1.832
18900,1.843
19000,1.8
19100,1.992
19200,1.921
19300,1.818
19400,1.853
19500,1.896
19600,1.869
19700,2.475
19800,1.92
19900,1.907
20000,1.921
20100,1.96
20200,1.99
20300,1.915
20400,1.986
20500,2.014
20600,2.078
20700,1.988
20800,2.071
20900,2.031
21000,2.054
21100,2.035
21200,2.033
21300,2.004
21400,2.036
21500,2.113
21600,2.102
21700,2.11
21800,2.105
21900,2.11
22000,2.098
22100,2.15
22200,2.191
22300,2.153
22400,2.12
22500,2.195
22600,2.134
22700,2.255
22800,2.27
22900,2.174
23000,2.287
23100,2.212
23200,2.294
23300,2.28
23400,2.356
23500,2.274
23600,2.341
23700,2.291
23800,2.309
23900,2.377
24000,2.331
24100,2.383
24200,2.435
24300,2.506
24400,2.384
24500,2.282
24600,2.424
24700,2.501
24800,2.52
24900,2.427
25000,2.416
25100,2.372
25200,2.57
25300,2.463
25400,2.509
25500,2.561
25600,2.517
25700,2.588
25800,2.562
25900,2.621
26000,2.544
26100,2.66
26200,2.657
26300,2.664
26400,2.631
26500,2.706
26600,2.562
26700,2.616
26800,2.631
26900,2.619
27000,2.671
27100,2.693
27200,2.71
27300,2.636
27400,2.749
27500,2.814
27600,2.729
27700,2.758
27800,2.766
27900,2.798
28000,2.773
28100,2.78
28200,2.854
28300,2.812
28400,2.833
28500,2.961
28600,2.888
28700,3.012
28800,2.822
28900,2.906
29000,2.931
29100,2.887
29200,2.958
29300,2.903
29400,2.921
29500,2.989
29600,3.001
29700,3.082
29800,2.928
29900,3.04
30000,3.072
30100,2.942
30200,3.162
30300,3.149
30400,3.044
30500,3.109
30600,3.12
30700,3.122
30800,3.013
30900,3.028
31000,3.121
31100,3.22
31200,3.122
31300,3.111
31400,3.219
31500,3.098
31600,3.139
31700,3.181
31800,3.158
31900,3.2
32000,3.303
32100,3.23
32200,3.252
32300,3.412
32400,3.243
32500,3.394
32600,3.348
32700,3.196
32800,3.446
32900,3.372
33000,3.439
33100,3.312
33200,3.401
33300,3.47
33400,3.484
33500,3.439
33600,3.442
33700,3.408
33800,3.484
33900,3.453
34000,3.547
34100,3.43
34200,3.507
34300,3.522
34400,3.404
34500,3.501
34600,3.601
34700,3.591
34800,3.531
34900,3.631
35000,3.705
35100,3.542
35200,3.632
35300,3.662
35400,3.513
35500,3.554
35600,3.721
35700,3.593
35800,3.608
35900,3.704
36000,3.678
36100,3.644
36200,3.658
36300,3.792
36400,3.653
36500,3.782
36600,3.707
36700,3.717
36800,3.841
36900,4.03
37000,3.822
37100,3.865
37200,3.876
37300,3.873
37400,3.867
37500,3.913
37600,3.746
37700,3.772
37800,3.892
37900,3.941
38000,3.869
38100,3.825
38200,3.882
38300,3.846
38400,3.971
38500,3.849
38600,3.937
38700,4.107
38800,4.064
38900,4.245
39000,4.549
39100,4.072
39200,4.018
39300,4.127
39400,4.051
39500,4.151
39600,4.157
39700,4.201
39800,4.285
39900,4.193
40000,4.15
40100,4.208
40200,4.073
40300,4.208
40400,4.348
40500,4.285
40600,4.308
40700,4.661
40800,4.335
40900,4.295
41000,4.286
41100,4.225
41200,4.386
41300,4.384
41400,4.095
41500,4.351
41600,4.311
41700,4.232
41800,4.319
41900,4.29
42000,4.298
42100,4.313
42200,4.366
42300,4.48
42400,4.585
42500,4.504
42600,4.35
42700,4.375
42800,4.397
42900,4.3
43000,4.485
43100,4.358
43200,4.518
43300,4.476
43400,4.514
43500,4.52
43600,4.564
43700,4.534
43800,4.563
43900,4.518
44000,4.676
44100,4.586
44200,4.583
44300,4.648
44400,4.594
44500,4.601
44600,4.569
44700,4.577
44800,4.625
44900,4.716
45000,4.734
45100,4.76
45200,4.784
45300,4.733
45400,4.809
45500,4.739
45600,4.784
45700,4.83
45800,4.727
45900,4.751
46000,4.831
46100,4.812
46200,4.807
46300,4.993
46400,4.966
46500,4.836
46600,4.99
46700,4.99
46800,4.747
46900,5.005
47000,4.976
47100,4.863
47200,4.903
47300,5.049
47400,5.295
47500,5.018
47600,5.103
47700,5.374
47800,4.862
47900,4.953
48000,5.218
48100,5.106
48200,5.349
48300,5.139
48400,5.23
48500,4.961
48600,5.03
48700,5.091
48800,5.25
48900,5.147
49000,5.254
49100,5.267
49200,5.347
49300,5.194
49400,5.276
49500,5.3
49600,5.293
49700,5.107
49800,5.184
49900,5.409
50000,5.252
50100,5.366
50200,5.334
50300,5.345
50400,5.201
50500,5.267
