n,time_ms
500,0.045
600,0.064
700,0.066
800,0.075
900,0.089
1000,0.1
1100,0.109
1200,0.124
1300,0.137
1400,0.147
1500,0.164
1600,0.175
1700,0.188
1800,0.2
1900,0.21
2000,0.225
2100,0.239
2200,0.246
2300,0.258
2400,0.275
2500,0.286
2600,0.301
2700,0.314
2800,0.324
2900,0.341
3000,0.348
3100,0.383
3200,0.381
3300,0.384
3400,0.398
3500,0.411
3600,0.427
3700,0.465
3800,0.44
3900,0.468
4000,0.491
4100,0.505
4200,0.513
4300,0.54
4400,0.54
4500,0.572
4600,0.582
4700,0.577
4800,0.626
4900,0.661
5000,0.649
5100,0.656
5200,0.671
5300,0.684
5400,0.688
5500,0.714
5600,0.719
5700,0.743
5800,0.743
5900,0.757
6000,0.778
6100,0.821
6200,0.818
6300,0.821
6400,0.836
6500,0.875
6600,0.901
6700,0.895
6800,0.925
6900,0.929
7000,0.916
7100,0.952
7200,0.952
7300,0.967
7400,1.013
7500,0.992
7600,1.061
7700,1.065
7800,1.04
7900,1.054
8000,1.046
8100,1.084
8200,1.091
8300,1.114
8400,1.106
8500,1.161
8600,1.163
8700,1.179
8800,1.194
8900,1.215
9000,1.218
9100,1.28
9200,1.252
9300,1.264
9400,1.29
9500,1.299
9600,1.347
9700,1.326
9800,1.343
9900,1.38
10000,1.365
10100,1.404
10200,1.404
10300,1.427
10400,1.434
10500,1.47
10600,1.481
10700,1.461
10800,1.507
10900,1.498
11000,1.555
11100,1.575
11200,1.537
11300,1.564
11400,1.584
11500,1.645
11600,1.643
11700,1.656
11800,1.633
11900,1.717
12000,1.724
12100,1.74
12200,1.766
12300,1.731
12400,1.807
12500,1.777
12600,1.791
12700,1.83
12800,1.823
12900,1.874
13000,1.861
13100,1.847
13200,1.864
13300,1.891
13400,1.9
13500,1.933
13600,1.947
13700,2.028
13800,2.003
13900,2.029
14000,2.013
14100,2.055
14200,2.054
14300,2.103
14400,2.127
14500,2.134
14600,2.182
14700,2.101
14800,2.159
14900,2.162
15000,2.163
15100,2.179
15200,2.184
15300,2.169
15400,2.233
15500,2.244
15600,2.298
15700,2.284
15800,2.339
15900,2.315
16000,2.291
16100,2.301
16200,2.319
16300,2.363
16400,2.364
16500,2.414
16600,2.475
16700,2.397
16800,2.486
16900,2.497
17000,2.458
17100,2.514
17200,2.57
17300,2.519
17400,2.541
17500,2.562
17600,2.609
17700,2.643
17800,2.597
17900,2.702
18000,2.651
18100,2.691
18200,2.75
18300,2.713
18400,2.687
18500,2.724
18600,2.78
18700,2.787
18800,2.722
18900,2.813
19000,2.865
19100,2.888
19200,2.851
19300,2.846
19400,2.851
19500,2.878
19600,2.949
19700,3.11
19800,2.927
19900,3.039
20000,2.969
20100,3.025
20200,3.027
20300,3.155
20400,3.028
20500,3.065
20600,3.125
20700,3.176
20800,3.208
20900,3.264
21000,3.243
21100,3.207
21200,3.175
21300,3.259
21400,3.244
21500,3.247
21600,3.32
21700,3.242
21800,3.295
21900,3.285
22000,3.289
22100,3.328
22200,3.365
22300,3.305
22400,3.421
22500,3.318
22600,3.333
22700,3.471
22800,3.452
22900,3.411
23000,3.456
23100,3.496
23200,3.465
23300,3.542
23400,3.573
23500,3.557
23600,3.555
23700,3.58
23800,3.713
23900,3.612
24000,3.68
24100,3.681
24200,3.883
24300,3.709
24400,3.621
24500,3.756
24600,3.857
24700,3.883
24800,3.869
24900,3.863
25000,3.747
25100,3.841
25200,3.881
25300,3.89
25400,3.893
25500,3.981
25600,3.902
25700,4.02
25800,3.892
25900,4.107
26000,3.941
26100,3.94
26200,4.123
26300,4.133
26400,4.089
26500,4.034
26600,4.085
26700,4.111
26800,4.093
26900,4.207
27000,4.252
27100,4.134
27200,4.28
27300,4.255
27400,4.184
27500,4.204
27600,4.276
27700,4.274
