n,time_ms
500,0.052
600,0.075
700,0.075
800,0.091
900,0.105
1000,0.113
1100,0.137
1200,0.136
1300,0.155
1400,0.163
1500,0.176
1600,0.191
1700,0.21
1800,0.22
1900,0.227
2000,0.243
2100,0.256
2200,0.268
2300,0.286
2400,0.292
2500,0.301
2600,0.322
2700,0.337
2800,0.363
2900,0.366
3000,0.378
3100,0.383
3200,0.402
3300,0.418
3400,0.44
3500,0.45
3600,0.452
3700,0.481
3800,0.486
3900,0.494
4000,0.509
4100,0.519
4200,0.525
4300,0.582
4400,0.599
4500,0.598
4600,0.598
4700,0.619
4800,0.642
4900,0.645
5000,0.648
5100,0.693
5200,0.671
5300,0.713
5400,0.716
5500,0.749
5600,0.756
5700,0.78
5800,0.767
5900,0.791
6000,0.81
6100,0.827
6200,0.817
6300,0.86
6400,0.87
6500,0.896
6600,0.89
6700,0.901
6800,0.928
6900,0.93
7000,0.957
7100,0.966
7200,0.979
7300,0.992
7400,1.004
7500,1.01
7600,1.021
7700,1.073
7800,1.1
7900,1.103
8000,1.133
8100,1.136
8200,1.122
8300,1.146
8400,1.222
8500,1.178
8600,1.208
8700,1.202
8800,1.21
8900,1.243
9000,1.234
9100,1.248
9200,1.278
9300,1.316
9400,1.344
9500,1.339
9600,1.364
9700,1.38
9800,1.368
9900,1.376
10000,1.42
10100,1.48
10200,1.478
10300,1.409
10400,1.464
10500,1.472
10600,1.492
10700,1.494
10800,1.538
10900,1.543
11000,1.588
11100,1.594
11200,1.548
11300,1.637
11400,1.589
11500,1.61
11600,1.632
11700,1.624
11800,1.628
11900,1.707
12000,1.674
12100,1.741
12200,1.728
12300,1.732
12400,1.798
12500,1.78
12600,1.784
12700,1.813
12800,1.825
12900,1.798
13000,1.88
13100,1.883
13200,1.912
13300,1.883
13400,1.919
13500,2.143
13600,1.935
13700,1.96
13800,2.038
13900,2.013
14000,2.043
14100,2.017
14200,2.304
14300,2.09
14400,2.069
14500,2.152
14600,2.16
14700,2.115
14800,2.128
14900,2.183
15000,2.181
15100,2.22
15200,2.248
15300,2.277
15400,2.214
15500,2.249
15600,2.267
15700,2.265
15800,2.255
15900,2.308
16000,2.348
16100,2.312
16200,2.339
16300,2.367
16400,2.407
16500,2.381
16600,2.405
16700,2.472
16800,2.414
16900,2.45
17000,2.497
17100,2.5
17200,2.553
17300,2.544
17400,2.629
17500,2.616
17600,2.545
17700,2.615
17800,2.581
17900,2.658
18000,2.621
18100,2.672
18200,2.699
18300,2.698
18400,2.672
18500,2.663
18600,2.66
18700,2.805
18800,2.719
18900,2.825
19000,2.871
19100,2.869
19200,2.828
19300,2.868
19400,2.889
19500,2.867
19600,2.92
19700,2.982
19800,2.93
19900,2.926
20000,2.954
20100,3.067
20200,3.017
20300,3.021
20400,3.056
20500,3.148
20600,2.961
20700,3.057
20800,3.128
20900,3.105
21000,3.138
21100,3.057
21200,3.227
21300,3.178
21400,3.23
21500,3.153
21600,3.355
21700,3.356
21800,3.348
21900,3.683
22000,3.413
22100,3.272
22200,3.365
22300,3.423
22400,3.332
22500,3.433
22600,3.424
22700,3.415
22800,3.481
22900,3.514
23000,3.428
23100,3.511
23200,3.586
23300,3.586
23400,3.528
23500,3.666
23600,3.592
23700,3.648
23800,3.627
23900,3.625
24000,3.719
24100,3.7
24200,3.673
24300,3.753
24400,3.807
24500,3.714
24600,3.662
24700,3.718
24800,3.694
24900,3.892
25000,3.82
25100,3.937
25200,3.926
25300,3.88
25400,3.855
25500,3.932
25600,3.924
25700,3.99
25800,3.915
25900,3.919
26000,4.065
26100,3.988
26200,4.004
26300,4.121
26400,3.988
26500,4.02
26600,4.158
26700,4.248
26800,4.114
26900,4.123
27000,4.095
27100,4.101
27200,4.139
27300,4.328
27400,4.292
27500,4.235
27600,4.269
27700,4.272
27800,4.328
27900,4.341
28000,4.304
28100,4.256
28200,4.541
28300,4.322
28400,4.366
28500,4.386
28600,4.478
28700,4.464
28800,4.517
28900,4.43
29000,4.469
29100,4.518
29200,4.665
29300,4.58
29400,4.516
29500,4.692
29600,4.61
29700,4.65
29800,4.739
29900,4.679
30000,4.665
30100,4.835
30200,4.612
30300,4.767
30400,4.795
30500,4.76
30600,4.76
30700,4.946
30800,4.834
30900,4.892
31000,4.924
31100,5.016
31200,4.846
31300,4.758
