n,time_ms
500,0.055
600,0.079
700,0.081
800,0.09
900,0.102
1000,0.116
1100,0.142
1200,0.141
1300,0.155
1400,0.17
1500,0.183
1600,0.194
1700,0.2
1800,0.215
1900,0.226
2000,0.246
2100,0.266
2200,0.261
2300,0.29
2400,0.292
2500,0.311
2600,0.319
2700,0.33
2800,0.342
2900,0.358
3000,0.375
3100,0.385
3200,0.413
3300,0.42
3400,0.416
3500,0.438
3600,0.451
3700,0.469
3800,0.486
3900,0.495
4000,0.506
4100,0.517
4200,0.552
4300,0.553
4400,0.589
4500,0.59
4600,0.598
4700,0.605
4800,0.621
4900,0.642
5000,0.64
5100,0.653
5200,0.663
5300,0.701
5400,0.697
5500,0.728
5600,0.747
5700,0.756
5800,0.771
5900,0.776
6000,0.807
6100,0.789
6200,0.853
6300,0.821
6400,0.836
6500,0.853
6600,0.845
6700,0.88
6800,0.897
6900,0.908
7000,0.974
7100,0.978
7200,0.953
7300,0.99
7400,0.997
7500,0.992
7600,1.024
7700,1.019
7800,1.029
7900,1.053
8000,1.097
8100,1.127
8200,1.124
8300,1.147
8400,1.152
8500,1.139
8600,1.194
8700,1.169
8800,1.209
8900,1.201
9000,1.222
9100,1.215
9200,1.274
9300,1.239
9400,1.337
9500,1.319
9600,1.292
9700,1.301
9800,1.336
9900,1.325
10000,1.353
10100,1.391
10200,1.375
10300,1.436
10400,1.412
10500,1.428
10600,1.456
10700,1.436
10800,1.482
10900,1.523
11000,1.532
11100,1.534
11200,1.565
11300,1.554
11400,1.542
11500,1.577
11600,1.598
11700,1.595
11800,1.609
11900,1.589
12000,1.668
12100,1.644
12200,1.666
12300,1.696
12400,1.692
12500,1.735
12600,1.769
12700,1.721
12800,1.806
12900,1.807
13000,1.806
13100,1.837
13200,1.845
13300,1.84
13400,1.858
13500,2.083
13600,1.861
13700,1.904
13800,1.933
13900,1.983
14000,1.942
14100,1.959
14200,2.102
14300,1.994
14400,2.036
14500,2.033
14600,2.074
14700,2.07
14800,2.075
14900,2.067
15000,2.091
15100,2.312
15200,2.136
15300,2.106
15400,2.124
15500,2.137
15600,2.194
15700,2.193
15800,2.204
15900,2.216
16000,2.305
16100,2.332
16200,2.262
16300,2.242
16400,2.319
16500,2.306
16600,2.303
16700,2.401
16800,2.414
16900,2.385
17000,2.409
17100,2.433
17200,2.431
17300,2.474
17400,2.46
17500,2.456
17600,2.432
17700,2.489
17800,2.569
17900,2.547
18000,2.476
18100,2.579
18200,2.561
18300,2.64
18400,2.559
18500,2.643
18600,2.667
18700,2.657
18800,2.661
18900,2.703
19000,2.78
19100,2.665
19200,2.706
19300,2.746
19400,2.728
19500,2.836
19600,2.742
19700,2.814
19800,2.863
19900,2.776
20000,2.83
20100,2.845
20200,2.847
20300,2.879
20400,2.874
20500,3.102
20600,2.91
20700,2.966
20800,2.965
20900,2.995
21000,3.042
21100,2.937
21200,3.08
21300,3.025
21400,3.056
21500,3.033
21600,3.083
21700,3.151
21800,3.207
21900,3.491
22000,3.15
22100,3.213
22200,3.233
22300,3.221
22400,3.203
22500,3.316
22600,3.246
22700,3.199
22800,3.339
22900,3.289
23000,3.362
23100,3.461
23200,3.411
23300,3.423
23400,3.375
23500,3.346
23600,3.54
23700,3.385
23800,3.37
23900,3.433
24000,3.428
24100,3.51
24200,3.583
24300,3.519
24400,3.576
24500,3.527
24600,3.604
24700,3.6
24800,3.652
24900,3.591
25000,3.576
25100,3.648
25200,3.678
25300,3.745
25400,3.693
25500,3.708
25600,3.65
25700,3.756
25800,3.69
25900,3.732
26000,3.725
26100,3.759
26200,3.792
26300,3.835
26400,3.863
26500,3.91
26600,4
26700,3.922
26800,3.973
26900,3.947
27000,3.894
27100,3.955
27200,3.994
27300,4.088
27400,4.105
27500,4.095
27600,4.052
27700,3.998
27800,4.148
27900,4.099
28000,4.105
28100,4.149
28200,4.183
28300,4.158
28400,4.247
28500,4.208
28600,4.199
28700,4.12
28800,4.278
28900,4.241
29000,4.186
29100,4.303
29200,4.292
29300,4.263
29400,4.332
29500,4.459
29600,4.383
29700,4.357
29800,4.571
29900,4.309
30000,4.489
30100,4.583
30200,4.46
30300,4.433
30400,4.513
30500,4.506
30600,4.438
30700,4.485
30800,4.553
30900,4.625
31000,4.629
31100,4.653
31200,4.68
31300,4.652
31400,4.656
31500,4.583
31600,4.768
31700,4.58
31800,4.773
31900,5.008
32000,4.872
32100,4.737
32200,4.857
32300,4.914
32400,4.877
32500,4.955
32600,4.863
32700,4.935
32800,4.872
32900,4.93
33000,4.934
33100,4.995
33200,5.044
33300,5.055
33400,5.088
33500,5.131
33600,5.057
33700,4.981
33800,5.213
33900,5.163
34000,5.056
34100,5.12
34200,5.116
34300,5.3
34400,5.113
34500,5.273
34600,5.039
34700,5.188
34800,5.168
34900,5.217
35000,5.232
35100,5.15
35200,5.242
35300,5.467
35400,5.261
35500,5.239
35600,5.384
35700,5.348
35800,5.308
35900,5.403
36000,5.478
36100,5.353
36200,5.53
36300,5.402
36400,5.537
36500,5.5
36600,5.51
36700,5.479
36800,5.542
36900,5.433
37000,5.523
37100,5.645
37200,5.67
37300,5.584
37400,5.638
37500,5.768
37600,5.695
37700,5.722
37800,5.917
37900,5.799
38000,5.828
38100,5.789
38200,6.139
38300,5.781
38400,5.922
38500,5.783
38600,6.356
38700,5.916
38800,6.29
38900,6.102
39000,6.001
39100,5.856
39200,5.979
39300,5.899
39400,6.153
39500,6.303
39600,6.09
39700,6.118
39800,6.22
39900,6.208
40000,6.12
40100,6.02
40200,6.172
40300,6.847
40400,7.561
40500,7.476
40600,6.913
40700,6.815
40800,6.755
40900,7.291
41000,6.638
41100,6.856
41200,6.44
41300,6.245
41400,6.273
41500,6.712
41600,8.126
41700,7.145
41800,7.256
41900,7.338
42000,6.786
42100,6.475
42200,6.42
42300,6.517
42400,6.667
