n,time_ms
500,0.055
600,0.074
700,0.078
800,0.09
900,0.108
1000,0.118
1100,0.143
1200,0.145
1300,0.159
1400,0.172
1500,0.185
1600,0.199
1700,0.212
1800,0.229
1900,0.241
2000,0.254
2100,0.269
2200,0.281
2300,0.305
2400,0.314
2500,0.323
2600,0.341
2700,0.354
2800,0.379
2900,0.395
3000,0.403
3100,0.416
3200,0.436
3300,0.447
3400,0.459
3500,0.485
3600,0.489
3700,0.511
3800,0.524
3900,0.529
4000,0.558
4100,0.583
4200,0.584
4300,0.619
4400,0.63
4500,0.649
4600,0.652
4700,0.669
4800,0.693
4900,0.707
5000,0.712
5100,0.729
5200,0.738
5300,0.763
5400,0.765
5500,0.816
5600,0.83
5700,0.827
5800,0.855
5900,0.841
6000,0.864
6100,0.897
6200,0.924
6300,0.926
6400,0.924
6500,0.954
6600,1.008
6700,0.988
6800,1.012
6900,1.04
7000,1.095
7100,1.066
7200,1.057
7300,1.067
7400,1.102
7500,1.109
7600,1.126
7700,1.133
7800,1.189
7900,1.185
8000,1.198
8100,1.218
8200,1.26
8300,1.238
8400,1.277
8500,1.328
8600,1.292
8700,1.326
8800,1.335
8900,1.357
9000,1.37
9100,1.384
9200,1.399
9300,1.412
9400,1.451
9500,1.473
9600,1.502
9700,1.478
9800,1.498
9900,1.544
10000,1.547
10100,1.591
10200,1.573
10300,1.604
10400,1.608
10500,1.665
10600,1.637
10700,1.629
10800,1.692
10900,1.713
11000,1.74
11100,1.745
11200,1.749
11300,1.788
11400,1.765
11500,1.804
11600,1.846
11700,1.83
11800,1.841
11900,1.848
12000,1.876
12100,1.917
12200,1.912
12300,1.922
12400,1.98
12500,1.952
12600,2.023
12700,2.026
12800,2.049
12900,2.013
13000,2.058
13100,2.109
13200,2.061
13300,2.14
13400,2.174
13500,2.235
13600,2.221
13700,2.203
13800,2.262
13900,2.225
14000,2.219
14100,2.247
14200,2.544
14300,2.342
14400,2.335
14500,2.325
14600,2.324
14700,2.432
14800,2.381
14900,2.401
15000,2.426
15100,2.527
15200,2.471
15300,2.421
15400,2.464
15500,2.465
15600,2.514
15700,2.538
15800,2.611
15900,2.588
16000,2.567
16100,2.605
16200,2.669
16300,2.677
16400,2.689
16500,2.699
16600,2.667
16700,2.842
16800,2.757
16900,2.764
17000,2.713
17100,2.845
17200,2.789
17300,2.808
17400,2.865
17500,2.828
17600,2.852
17700,2.888
17800,2.926
17900,2.943
18000,2.949
18100,3.011
18200,2.989
18300,2.972
18400,3.011
18500,3.008
18600,3.02
18700,3.116
18800,3.112
18900,3.183
19000,3.267
19100,3.192
19200,3.246
19300,3.192
19400,3.216
19500,3.263
19600,3.222
19700,3.193
19800,3.304
19900,3.324
20000,3.299
20100,3.361
20200,3.362
20300,3.422
20400,3.386
20500,3.415
20600,3.515
20700,3.433
20800,3.534
20900,3.512
21000,3.482
21100,3.539
21200,3.519
21300,3.631
21400,3.602
21500,3.603
21600,3.675
21700,3.787
21800,3.755
21900,3.858
22000,3.81
22100,3.743
22200,3.708
22300,3.793
22400,3.811
22500,3.817
22600,3.873
22700,3.841
22800,3.877
22900,3.877
23000,3.924
23100,4.04
23200,3.964
23300,4.021
23400,3.925
23500,3.988
23600,4.1
23700,4.12
23800,4.026
23900,4.113
24000,4.092
24100,4.132
24200,4.12
24300,4.254
24400,4.17
24500,4.36
24600,4.229
24700,4.159
24800,4.255
24900,4.262
25000,4.319
25100,4.356
25200,4.319
25300,4.379
25400,4.365
25500,4.373
25600,4.346
25700,4.404
25800,4.361
25900,4.519
26000,4.549
26100,4.516
26200,4.481
26300,4.623
26400,4.569
26500,4.653
26600,4.588
26700,4.607
26800,4.744
26900,4.708
27000,4.661
27100,4.686
27200,4.759
27300,4.898
27400,4.985
27500,4.986
27600,4.785
27700,4.85
27800,5.006
27900,4.831
28000,4.877
28100,4.905
28200,4.978
28300,4.897
28400,4.99
28500,4.949
28600,4.892
28700,4.975
28800,4.96
28900,5.035
29000,5.021
29100,5.071
29200,5.179
29300,5.117
29400,5.162
29500,5.259
29600,5.24
29700,5.233
29800,5.303
29900,5.229
30000,5.33
30100,5.378
30200,5.31
30300,5.473
30400,5.335
30500,5.338
30600,5.45
30700,5.442
30800,5.466
30900,5.57
31000,5.598
31100,5.461
31200,5.601
31300,5.504
31400,5.526
31500,5.782
31600,5.624
31700,5.56
31800,5.742
31900,5.675
32000,5.743
32100,5.725
32200,5.648
32300,5.961
32400,5.961
32500,5.828
32600,5.823
32700,5.894
32800,5.901
32900,5.833
33000,5.947
33100,6.033
33200,6.09
33300,5.928
33400,6.067
33500,5.993
33600,6.186
33700,6.256
33800,6.153
33900,6.597
34000,6.173
34100,6.203
34200,6.087
34300,6.277
34400,6.299
34500,6.355
34600,6.215
34700,6.251
34800,6.328
34900,6.211
35000,6.307
35100,6.247
35200,6.384
35300,6.49
35400,6.394
35500,6.318
35600,6.504
35700,6.511
35800,6.432
35900,6.534
36000,6.56
36100,6.505
36200,6.623
36300,6.607
36400,6.565
36500,6.593
36600,6.796
36700,6.746
36800,6.669
36900,6.826
37000,6.769
37100,6.783
37200,6.745
37300,6.765
37400,6.841
37500,6.884
37600,6.965
37700,6.926
37800,6.911
37900,6.857
38000,7.018
38100,7.076
38200,7.173
38300,7.132
38400,7.006
38500,7.035
38600,7.611
38700,7.027
38800,7.298
38900,7.271
39000,7.224
39100,7.257
39200,7.331
39300,7.315
39400,7.442
39500,7.372
39600,7.627
39700,7.397
39800,7.396
39900,7.308
40000,7.452
40100,7.311
40200,7.402
40300,7.762
40400,8.388
40500,9.33
40600,8.364
40700,8.351
40800,7.8
40900,8.293
41000,8.036
41100,8.129
41200,7.991
41300,7.849
41400,7.839
41500,8.006
41600,9.035
41700,8.251
41800,8.913
41900,8.736
42000,8.161
42100,7.926
42200,7.831
42300,8.106
42400,7.963
42500,7.857
42600,7.953
42700,7.914
42800,7.897
42900,8.088
43000,8.001
43100,8.04
43200,8.096
43300,8.189
43400,8.1
43500,8.118
43600,8.109
43700,8.279
43800,8.143
43900,8.146
44000,8.313
44100,8.156
44200,8.347
44300,8.486
44400,8.32
44500,8.455
44600,8.369
44700,8.297
44800,8.376
44900,8.533
45000,8.569
45100,8.566
45200,8.64
45300,8.471
45400,8.512
45500,8.499
45600,8.568
45700,8.507
45800,8.597
45900,8.617
46000,8.619
46100,8.724
46200,8.714
46300,8.739
46400,8.651
46500,8.979
46600,8.788
46700,8.909
46800,8.895
46900,8.812
47000,8.794
47100,8.912
47200,9.04
47300,8.964
47400,9.049
47500,9.014
47600,9.052
47700,9.06
47800,9.171
47900,9.088
48000,9.427
48100,9.203
48200,9.266
48300,9.242
48400,9.139
48500,9.221
48600,9.27
48700,9.35
48800,9.304
48900,9.121
49000,9.304
49100,9.296
49200,9.35
49300,9.334
49400,9.532
49500,9.416
49600,9.423
49700,9.56
49800,9.56
49900,9.484
50000,9.687
50100,9.467
50200,9.501
50300,9.548
50400,9.778
50500,9.729
50600,9.738
50700,9.987
50800,9.983
50900,9.897
51000,9.758
51100,9.923
51200,9.835
51300,9.938
51400,9.961
51500,9.903
51600,9.969
51700,10.106
51800,10.137
51900,9.931
52000,9.905
52100,10.311
52200,10.217
52300,10.11
52400,10.143
52500,10.217
52600,10.148
52700,10.131
52800,10.107
52900,10.35
53000,10.226
53100,10.334
53200,10.229
53300,10.364
53400,10.226
53500,10.359
53600,10.315
53700,10.546
53800,10.499
53900,10.479
54000,10.523
54100,10.436
54200,10.466
54300,10.662
54400,10.604
54500,10.627
54600,10.896
54700,10.571
54800,10.787
54900,10.724
55000,10.668
55100,10.72
55200,10.965
55300,10.843
55400,10.822
55500,11.032
55600,11.085
55700,10.827
55800,10.791
55900,11.676
56000,11.607
56100,11.89
56200,11.518
56300,10.929
56400,11.142
56500,12.158
56600,11.287
56700,10.976
56800,11.272
56900,11.205
57000,11.202
57100,11.362
57200,11.026
57300,11.204
57400,11.01
57500,11.137
57600,11.117
57700,11.219
57800,11.142
57900,11.351
58000,11.423
58100,11.503
58200,11.43
58300,11.415
58400,11.633
58500,11.619
58600,11.448
58700,11.389
58800,11.472
58900,11.725
59000,11.727
59100,12.227
59200,11.613
59300,11.589
59400,11.488
59500,11.613
59600,11.631
59700,11.919
59800,11.709
59900,11.76
60000,11.632
60100,11.939
60200,11.799
60300,11.991
60400,11.78
60500,11.914
60600,11.801
60700,11.76
60800,12.036
60900,12.016
61000,12.083
61100,12.186
61200,12.007
61300,12.028
61400,12.127
61500,12.143
61600,11.981
61700,12.15
61800,12.059
61900,12.297
62000,12.271
62100,12.113
62200,12.168
62300,12.313
62400,12.299
62500,12.285
62600,12.244
62700,12.415
62800,12.268
62900,12.409
63000,12.319
63100,12.411
63200,12.58
63300,12.492
63400,12.706
63500,12.81
63600,12.493
63700,12.749
63800,12.71
63900,12.827
64000,12.707
64100,12.718
64200,12.845
64300,12.835
64400,12.752
64500,12.974
64600,12.849
64700,12.691
64800,12.83
64900,12.785
65000,12.882
65100,12.782
65200,13.115
65300,13.376
65400,13.132
65500,13.113
65600,13.241
65700,13.295
65800,13.158
65900,13.279
66000,13.134
66100,13.181
66200,13.281
66300,13.427
66400,13.336
66500,13.264
66600,13.426
66700,13.15
66800,13.32
66900,13.435
67000,13.454
67100,13.417
67200,13.692
67300,13.741
67400,13.578
67500,13.994
67600,13.624
67700,13.359
67800,13.563
67900,13.348
68000,13.782
68100,14.187
68200,13.744
68300,13.817
68400,13.836
68500,13.791
68600,13.711
68700,13.626
68800,14.082
68900,13.735
69000,13.824
69100,13.657
69200,14.079
69300,13.895
69400,14.06
69500,14.015
69600,13.859
69700,13.927
69800,14.059
69900,14.2
70000,14.077
70100,14.422
70200,14.188
70300,14.316
70400,14.212
70500,14.224
70600,14.595
70700,14.336
70800,14.409
70900,14.343
71000,14.205
71100,14.292
71200,14.373
71300,14.472
71400,14.476
71500,14.482
71600,14.506
71700,14.429
71800,14.807
71900,14.59
72000,14.846
72100,14.748
72200,14.645
72300,14.871
72400,14.832
72500,14.708
72600,14.713
72700,14.748
72800,14.999
72900,15.133
73000,14.727
73100,14.794
73200,14.667
73300,14.78
73400,14.991
73500,14.955
73600,14.704
73700,14.977
73800,15.028
73900,15.031
74000,15.015
74100,15.123
74200,15.181
74300,15.229
74400,15.072
74500,14.902
74600,15.233
74700,15.536
74800,15.356
74900,15.295
75000,15.168
75100,15.327
75200,15.459
75300,15.308
75400,15.528
75500,15.252
75600,15.366
75700,15.407
75800,15.447
75900,15.465
76000,15.424
76100,15.427
76200,15.477
76300,15.69
76400,15.433
76500,15.723
76600,15.648
76700,15.825
76800,15.603
76900,15.523
77000,15.672
77100,15.726
77200,15.684
77300,15.625
77400,15.769
77500,15.736
77600,15.829
77700,16.11
77800,15.79
77900,15.929
78000,15.77
78100,15.909
78200,16.26
78300,16.433
78400,16.195
78500,16.026
78600,16.181
78700,15.917
78800,16.099
78900,16.199
79000,16.018
79100,16.142
79200,16.377
79300,16.284
79400,16.291
79500,16.459
79600,16.623
79700,16.407
79800,16.338
79900,16.586
80000,16.351
80100,16.62
80200,16.579
80300,16.897
80400,16.734
80500,16.623
80600,17.387
80700,16.689
80800,16.872
80900,17.155
81000,16.942
81100,16.587
81200,16.765
81300,16.562
81400,17.676
81500,17.82
81600,18.011
81700,17.166
81800,16.908
81900,17.109
82000,16.952
82100,17.011
82200,16.933
82300,17.141
82400,17.3
82500,17.153
82600,17.137
82700,17.362
82800,17.339
82900,17.66
83000,17.764
83100,17.446
83200,17.39
83300,17.264
83400,17.572
83500,17.642
83600,17.586
83700,18.234
83800,17.56
83900,17.503
84000,17.319
84100,17.533
84200,17.838
84300,18.028
84400,17.584
84500,17.563
84600,17.694
84700,18.087
84800,18.219
84900,17.794
85000,17.891
85100,17.773
85200,17.616
85300,18.005
85400,18.068
85500,17.926
85600,17.716
85700,17.977
85800,17.826
85900,17.81
86000,17.825
86100,18.041
86200,18.065
86300,18.251
86400,18.214
86500,18.397
86600,18.837
86700,18.126
86800,18.326
86900,18.136
87000,18.75
87100,18.333
87200,18.56
87300,18.47
87400,18.333
87500,18.489
87600,18.166
87700,18.597
87800,18.49
87900,18.308
88000,18.565
88100,18.938
88200,18.875
88300,18.634
88400,18.809
88500,18.785
88600,18.784
88700,18.394
88800,18.621
88900,18.667
89000,18.926
89100,18.824
89200,19.173
89300,18.836
89400,18.782
89500,19.058
89600,19.973
89700,19.008
89800,19.172
89900,19.239
90000,19.28
90100,19.018
90200,18.877
90300,18.993
90400,19.102
90500,19.254
90600,19.174
90700,19.463
90800,19.383
90900,18.979
91000,19.293
91100,19.428
91200,19.311
91300,19.304
91400,19.526
91500,19.375
91600,19.408
91700,19.332
91800,19.249
91900,19.493
92000,19.288
92100,19.272
92200,19.631
92300,19.815
92400,19.647
92500,19.769
92600,19.39
92700,19.599
92800,19.666
92900,20.031
93000,20.062
93100,19.517
93200,19.548
93300,19.897
93400,19.873
93500,19.985
93600,20.073
93700,19.967
93800,20.007
93900,20.167
94000,20.14
94100,19.951
94200,20.169
94300,20.569
94400,20.325
94500,20.265
94600,20.009
94700,20.19
94800,20.312
94900,20.307
95000,20.394
95100,20.3
95200,20.643
95300,20.559
95400,20.284
95500,20.6
95600,20.527
95700,20.566
95800,20.685
95900,20.907
96000,20.689
96100,20.46
96200,20.949
96300,20.716
96400,20.598
96500,20.789
96600,21.762
96700,20.911
96800,20.66
96900,20.933
97000,20.629
97100,20.805
97200,20.778
97300,20.912
97400,20.931
97500,21.063
97600,20.717
97700,21.059
97800,21.181
97900,21.157
98000,21.256
98100,21.065
98200,21.092
98300,21.563
98400,27.854
98500,21.281
98600,21.135
98700,22.036
98800,21.308
98900,21.592
99000,21.09
99100,21.118
99200,21.877
99300,21.65
99400,21.55
99500,21.81
99600,21.679
99700,21.977
99800,21.836
99900,21.678
100000,21.455
